Modelo;CV;Precision;Tipo
ENSEMBLE;8;0.9993578639881041;ENTRENAMIENTO
ENSEMBLE;8;0.9925425559596509;TEST
ENSEMBLE;8;0.990223089800578;TEST
ENSEMBLE;9;1.000454760928618;ENTRENAMIENTO
ENSEMBLE;9;0.9993332591791888;ENTRENAMIENTO
ENSEMBLE;9;0.9926856418452503;TEST
ENSEMBLE;9;0.9903661756861775;TEST
ENSEMBLE;10;1.0004945071584042;ENTRENAMIENTO
ENSEMBLE;10;0.999373005408975;ENTRENAMIENTO
ENSEMBLE;10;0.9936531749764465;TEST
ENSEMBLE;10;0.9913337088173736;TEST
